집계년도,시군명,전체기관명,대표전화번호,관할구역명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2024,가평군,경기도 가평소방서,031-580-0212,가평군 일원,12419,경기도 가평군 가평읍 대곡리 213-5번지,경기도 가평군 가평읍 가화로 36,37.82334329,127.5165895
2024,고양시,경기도 고양소방서,031-931-0212,고양시 덕양구 일원,10455,경기도 고양시 덕양구 성사동 740번지,경기도 고양시 덕양구 고양대로 1342,37.65509243,126.8332082
2024,고양시,경기도 일산소방서,031-930-0212,"고양시 일산동구, 서구 일원",10401,경기도 고양시 일산동구 장항동 779번지,경기도 고양시 일산동구 중앙로 1325,37.66326933,126.7696083
2024,과천시,경기도 과천소방서,02-331-4212,과천시 일원,13807,경기도 과천시 중앙동 40번지,경기도 과천시 통영로 12,37.42855606,126.9905201
2024,광명시,경기도 광명소방서,02-2610-3213,광명시 일원,14316,경기도 광명시 소하동 1336번지,경기도 광명시 금하로 472,37.44873232,126.8851732
2024,광주시,경기도 광주소방서,031-799-2212,광주시 일원,12735,경기도 광주시 초월읍 대쌍령리 450-7번지,경기도 광주시 초월읍 무들로 112,37.38559581,127.2995138
2024,구리시,경기도 구리소방서,031-570-6214,구리시 일원,11952,경기도 구리시 교문동 354-6번지,경기도 구리시 아차산로487번길 46,37.59828036,127.1278304
2024,군포시,경기도 군포소방서,031-479-8212,군포시 일원,15870,경기도 군포시 산본동 1156번지,경기도 군포시 고산로 429,37.3525686,126.9271146
2024,김포시,경기도 김포소방서,031-980-4212,김포시 일원,10092,경기도 김포시 걸포동 1550-18번지,경기도 김포시 감암로 111,37.64154991,126.7085118
2024,남양주시,경기도 남양주소방서,031-590-0212,남양주시 일원,12224,경기도 남양주시 평내동 570번지,경기도 남양주시 평내로 25,37.64332419,127.2322178
2024,동두천시,경기도 동두천소방서,031-830-5212,동두천시 일원,11349,경기도 동두천시 지행동 717번지,경기도 동두천시 지행로 6,37.89226387,127.0476416
2024,부천시,경기도 부천소방서,032-650-4214,부천시 일원,14612,경기도 부천시 원미구 중동 1218번지,경기도 부천시 원미구 신흥로 115,37.4939958,126.7779682
2024,성남시,경기도 분당소방서,031-8018-3212,성남시 분당구 일원,13590,경기도 성남시 분당구 서현동 278번지,경기도 성남시 분당구 양현로 14,37.38604593,127.1194835
2024,성남시,경기도 성남소방서,031-720-0212,"성남시 수정구, 중원구 일원",13409,경기도 성남시 중원구 하대원동 2번지,경기도 성남시 중원구 마지로 64,37.42789768,127.1369602
2024,수원시,경기도 수원소방서,031-8012-9212,"수원시 장안구, 영통구 일원",16335,경기도 수원시 장안구 정자동 873-5번지,경기도 수원시 장안구 정자천로189번길 12,37.2972036,126.9959882
2024,수원시,경기도 수원남부소방서,031-639-8214,"수원시 권선구, 팔달구 일원",16550,경기도 수원시 권선구 권선동 1237번지,경기도 수원시 권선구 동수원로 286,37.25473293,127.0364047
2024,시흥시,경기도 시흥소방서,031-310-0212,시흥시 일원,15055,경기도 시흥시 정왕동 1800-1번지,경기도 시흥시 정왕신길로 206,37.3495555,126.7395431
2024,안산시,경기도 안산소방서,031-470-7212,안산시 일원,15335,경기도 안산시 단원구 고잔동 515-1번지,경기도 안산시 단원구 화랑로 407,37.32173484,126.8329595
2024,안성시,경기도 안성소방서,031-678-4212,안성시 일원,17595,경기도 안성시 도기동 544-174번지,경기도 안성시 미양로 855,37.0006739,127.2557077
2024,안양시,경기도 안양소방서,031-470-0212,안양시 일원,14054,경기도 안양시 동안구 관양동 1592-1번지,경기도 안양시 동안구 관평로212번길 32,37.39598374,126.9607565
2024,양주시,경기도 양주소방서,031-849-8212,양주시 일원,11504,경기도 양주시 백석읍 오산리 513-1번지,경기도 양주시 백석읍 꿈나무로 156,37.79582032,126.989394
2024,양평군,경기도 양평소방서,031-770-0212,양평군 일원,12547,경기도 양평군 양평읍 공흥리 159-1번지,경기도 양평군 양평읍 경강로 2047,37.50033034,127.5073425
2024,여주시,경기도 여주소방서,031-887-7214,여주시 일원,12625,경기도 여주시 월송동 42번지,경기도 여주시 우암로 110,37.29167475,127.6258193
2024,연천군,경기도 연천소방서,031-830-0212,연천군 일원,11025,경기도 연천군 전곡읍 은대리 422-4번지,경기도 연천군 전곡읍 평화로 892,38.04833739,127.0685656
2024,오산시,경기도 오산소방서,031-8059-7212,오산시 일원,18110,경기도 오산시 내삼미동 880번지,경기도 오산시 문헌공로 30,37.175305,127.0537876
2024,용인시,경기도 용인소방서,031-8021-0212,용인시 일원,17057,경기도 용인시 처인구 역북동 586-7번지,경기도 용인시 처인구 명지로 45,37.23215851,127.1898933
2024,의왕시,경기도 의왕소방서,031-596-0212,의왕시 일원,16077,경기도 의왕시 고천동 78-3번지,경기도 의왕시 오봉로 9,37.34420848,126.9747313
2024,의정부시,경기도 의정부소방서,031-849-7212,의정부시 일원,11763,경기도 의정부시 금오동 484번지,경기도 의정부시 금오로23번길 22-40,37.75514035,127.0697857
2024,이천시,경기도 이천소방서,031-645-5212,이천시 일원,17379,경기도 이천시 관고동 218-2번지,경기도 이천시 경충대로 2739,37.28206786,127.4315708
2024,파주시,경기도 파주소방서,031-956-9212,파주시 일원,10836,경기도 파주시 파주읍 봉서리 458-10번지,경기도 파주시 파주읍 통일로 1564,37.8474835,126.7895156
2024,평택시,경기도 송탄소방서,031-685-8212,평택시 신장동 등,17754,경기도 평택시 신장동 505-2번지,경기도 평택시 경기대로 1627,37.08966572,127.0621667
2024,평택시,경기도 평택소방서,031-8053-6212,평택시 비전동 등,17901,경기도 평택시 비전동 849-1번지,경기도 평택시 중앙로 273,36.99045917,127.1128327
2024,포천시,경기도 포천소방서,031-538-5212,포천시 일원,11154,경기도 포천시 군내면 구읍리 669번지,경기도 포천시 군내면 호국로 1538,37.89135136,127.2026163
2024,하남시,경기도 하남소방서,031-799-4212,하남시 일원,12953,경기도 하남시 신장동 528-1번지,경기도 하남시 대청로 76,37.539903,127.220431
2024,화성시,경기도 화성소방서,031-8012-6212,화성시 일원,18598,경기도 화성시 향남읍 행정리 436-6번지,경기도 화성시 향남읍 향남로 399,37.13093805,126.9205599

